major,gpa,work_exp,admission,application_id
STEM,3.2,4.0,,82
Humanities,3.22,6.0,Admit,1489
Humanities,3.02,6.0,,4016
Business,3.32,5.0,,2641
Business,3.36,5.0,,3722
STEM,3.15,5.0,,1570
STEM,3.06,4.0,,5904
STEM,3.03,5.0,,5753
Business,3.1,5.0,,1389
Humanities,3.33,4.0,Admit,1987
Humanities,3.57,5.0,,1834
Humanities,3.35,6.0,,1874
STEM,3.25,5.0,,5840
Business,3.35,5.0,,467
Business,3.44,6.0,,5407
STEM,3.52,5.0,,3110
STEM,3.0,5.0,,4853
Business,3.24,6.0,,4516
Humanities,3.4,5.0,,5198
Business,3.04,5.0,,4058
Humanities,3.38,4.0,,5254
Business,3.29,5.0,Admit,4288
STEM,3.4,4.0,,235
STEM,2.97,6.0,,2800
Business,3.2,5.0,,1956
STEM,3.32,7.0,,4503
Business,3.49,5.0,,6075
STEM,3.17,5.0,,2456
Humanities,3.16,4.0,,2409
STEM,3.34,5.0,,3026
Business,3.14,4.0,,4378
Business,3.08,6.0,,522
Humanities,3.12,5.0,,2795
STEM,3.5,7.0,,1626
STEM,3.5,5.0,,1938
Humanities,3.45,4.0,Admit,2228
Business,3.08,4.0,,1702
Humanities,3.32,6.0,,317
Humanities,3.27,6.0,,5090
Business,3.34,5.0,,3619
STEM,3.16,6.0,,4396
Humanities,3.03,4.0,,6094
Business,3.24,4.0,,5212
Humanities,3.2,4.0,,519
Business,3.09,5.0,,3532
Humanities,3.1,5.0,,3193
STEM,3.18,4.0,,398
Humanities,3.08,5.0,,1531
Humanities,3.23,6.0,,3743
Humanities,3.41,6.0,,976
STEM,3.3,7.0,,4239
STEM,3.37,7.0,,3138
Business,3.2,6.0,,4036
Humanities,3.24,4.0,Waitlist,76
Humanities,3.38,6.0,,3433
Humanities,3.14,4.0,,5294
STEM,3.51,3.0,Admit,5142
STEM,3.19,5.0,,5168
Business,3.11,6.0,,1876
Humanities,3.37,6.0,,5313
Business,3.29,5.0,,4855
Business,3.39,4.0,,816
Business,3.18,5.0,,5626
STEM,3.34,7.0,,5708
Business,3.27,6.0,Admit,130
Business,3.1,6.0,,3003
Humanities,3.13,5.0,,2412
STEM,3.12,5.0,,4400
Business,3.5,7.0,,35
Business,3.23,6.0,Admit,170
Business,2.92,7.0,,5470
STEM,3.27,7.0,Admit,5337
Humanities,3.37,4.0,,2210
Humanities,2.87,7.0,,1364
Humanities,3.1,5.0,,1836
Humanities,3.17,3.0,,5570
Humanities,3.3,4.0,Admit,2566
Humanities,3.26,4.0,,3789
STEM,3.22,6.0,,2892
Humanities,3.45,6.0,,2934
Humanities,3.23,6.0,,3075
Business,3.45,5.0,,4441
STEM,3.21,5.0,,1940
Business,3.35,6.0,Admit,3091
STEM,3.11,5.0,,3750
STEM,3.12,5.0,,1677
STEM,3.31,6.0,,1401
Humanities,3.24,3.0,,5867
STEM,3.44,3.0,Waitlist,717
STEM,3.22,7.0,,1332
Humanities,3.24,6.0,,4815
Humanities,3.35,6.0,,5215
Business,3.24,5.0,,4755
Business,3.18,4.0,,3182
Humanities,3.32,6.0,,1462
Humanities,3.31,5.0,Admit,4497
Humanities,3.3,6.0,,1676
Humanities,3.33,4.0,,4220
Humanities,3.45,5.0,,2328
STEM,3.34,5.0,,1240
Humanities,3.31,5.0,,5323
STEM,3.5,3.0,Admit,4670
STEM,3.26,4.0,,4982
STEM,3.26,6.0,,4063
Humanities,3.42,4.0,Admit,5557
Humanities,3.15,5.0,,5079
STEM,3.08,5.0,Admit,388
STEM,3.19,5.0,,791
STEM,3.21,5.0,,5952
STEM,3.06,4.0,,1052
STEM,3.07,5.0,,3824
Business,3.06,4.0,,2397
Humanities,3.57,6.0,,2390
Business,3.3,4.0,,3828
Humanities,3.66,6.0,,1123
Humanities,3.11,5.0,,3161
Humanities,3.48,5.0,,3267
Humanities,3.39,6.0,,650
Humanities,3.12,4.0,,3084
Business,3.38,5.0,,5243
STEM,3.41,5.0,,1684
STEM,3.14,5.0,,3605
STEM,3.14,5.0,,4999
Humanities,3.19,5.0,,1886
Business,2.95,4.0,,4804
Humanities,3.15,7.0,,3994
Business,3.24,7.0,,2826
Humanities,3.25,6.0,,2012
Humanities,3.4,7.0,,1359
Humanities,3.57,7.0,Admit,4083
STEM,3.42,6.0,,1992
Business,3.02,6.0,,5329
STEM,2.91,3.0,,1183
Business,3.17,4.0,,4871
Business,3.32,4.0,Admit,581
Humanities,3.55,6.0,Admit,5869
STEM,3.24,4.0,,3278
Humanities,3.42,6.0,Admit,1447
STEM,3.12,4.0,,3447
STEM,3.29,6.0,,2931
STEM,3.57,4.0,,5173
Humanities,3.26,4.0,,2880
Humanities,3.36,5.0,,985
STEM,3.32,5.0,,1640
Business,3.0,5.0,,4819
Humanities,3.32,6.0,Admit,5709
Humanities,3.45,5.0,Admit,3153
Humanities,3.22,5.0,Admit,615
Humanities,3.31,5.0,,778
Business,3.18,4.0,,3918
STEM,2.98,4.0,,4422
Business,3.17,5.0,,2549
Business,3.47,3.0,,2287
Business,3.23,6.0,,2537
Business,3.44,3.0,,721
STEM,3.17,5.0,,3461
Humanities,3.45,5.0,Admit,1668
STEM,3.39,7.0,,3718
Business,3.43,5.0,Admit,2057
Humanities,3.43,5.0,Admit,4082
Humanities,3.21,5.0,,2199
STEM,3.01,6.0,,2046
STEM,3.22,5.0,,3210
STEM,3.47,4.0,Admit,1742
Business,3.3,6.0,,1849
STEM,3.33,5.0,,3689
Humanities,3.06,5.0,,3354
Humanities,3.29,4.0,Admit,3613
Business,3.28,6.0,,2225
Business,3.53,6.0,,3324
STEM,3.36,5.0,,5825
STEM,3.19,5.0,,4567
Humanities,3.29,5.0,,3790
STEM,3.27,6.0,,2500
Business,3.17,6.0,,3551
STEM,3.4,5.0,,5964
Business,3.27,6.0,,4620
STEM,3.21,6.0,,3796
STEM,3.25,5.0,,4206
Humanities,3.3,6.0,,4311
STEM,3.39,3.0,Admit,4340
Business,3.29,4.0,Admit,3487
Business,3.21,7.0,,5696
Business,3.31,3.0,Admit,6153
STEM,3.45,4.0,Admit,859
STEM,3.12,5.0,,1020
STEM,3.31,6.0,,1398
Humanities,2.94,5.0,,3295
Business,3.22,4.0,,3833
STEM,3.4,5.0,,5936
Business,3.2,4.0,,2687
Humanities,3.12,4.0,,2738
Humanities,3.36,6.0,,5949
Humanities,3.03,5.0,Admit,358
STEM,3.36,5.0,,1350
Humanities,3.38,6.0,,2527
STEM,3.25,6.0,,4388
STEM,3.18,4.0,,514
Business,3.31,4.0,,3111
Humanities,3.39,5.0,,2400
Humanities,3.18,5.0,,2453
Humanities,3.17,5.0,,1955
STEM,3.1,4.0,,4649
Humanities,3.31,4.0,,1117
Humanities,3.19,5.0,,5529
Humanities,2.98,5.0,,2485
Humanities,3.51,4.0,Admit,712
Business,3.55,5.0,Admit,2661
STEM,3.15,5.0,,2233
Business,3.37,4.0,,2303
Humanities,3.55,6.0,Admit,155
STEM,3.17,5.0,,93
Humanities,3.34,6.0,,2902
STEM,3.47,6.0,,5589
Humanities,3.34,5.0,,5861
Humanities,3.06,5.0,,2514
Humanities,3.21,3.0,Admit,4915
STEM,3.13,6.0,,5525
STEM,3.34,6.0,,329
STEM,3.1,6.0,,3351
Humanities,3.32,5.0,,5040
Humanities,3.23,3.0,,4043
Business,3.07,4.0,,1233
Business,3.49,6.0,,4346
Humanities,3.61,6.0,,1575
Business,3.23,4.0,Admit,556
Business,3.09,5.0,,4244
Humanities,3.43,4.0,,2748
Humanities,3.29,4.0,,6073
Humanities,3.07,6.0,Waitlist,771
Humanities,3.27,6.0,Admit,3253
Business,3.42,6.0,,1819
Humanities,3.29,5.0,,2200
STEM,3.1,5.0,,1303
STEM,3.4,5.0,,4054
Business,3.24,4.0,,5968
STEM,3.26,4.0,,4141
Humanities,3.41,5.0,Admit,2860
STEM,3.59,4.0,Admit,4826
Humanities,3.34,4.0,,5733
Humanities,3.29,6.0,Waitlist,4488
STEM,3.44,7.0,,5757
Humanities,3.14,3.0,,1659
STEM,3.16,6.0,,402
Humanities,3.19,6.0,Waitlist,1000
Business,3.2,5.0,,708
STEM,3.38,7.0,Admit,6101
Humanities,3.16,4.0,,2044
Business,3.1,6.0,Admit,341
Humanities,3.44,5.0,Admit,5027
Humanities,3.09,2.0,,5539
Business,3.32,5.0,Admit,3890
Humanities,3.29,5.0,,6147
Business,3.24,5.0,,5748
Business,3.16,4.0,,4797
Business,3.29,4.0,,573
Business,3.31,6.0,Admit,2772
Business,3.06,4.0,,2099
STEM,3.42,4.0,Admit,4977
Business,3.24,4.0,Waitlist,1022
STEM,3.35,5.0,,2338
Humanities,3.21,5.0,,2853
STEM,3.28,5.0,,5284
Humanities,3.1,4.0,,1925
Humanities,3.27,6.0,Admit,530
STEM,3.19,5.0,,1290
Business,3.24,4.0,,1740
STEM,3.01,3.0,,5538
Humanities,3.2,6.0,,1544
STEM,3.24,3.0,,706
Business,3.27,4.0,,2920
Business,3.28,3.0,,3372
Business,3.46,5.0,Admit,6151
Humanities,3.26,6.0,,4615
STEM,3.48,6.0,Admit,5262
Business,3.19,6.0,,3485
Business,3.22,4.0,Admit,2612
STEM,3.2,5.0,,2215
Humanities,3.44,6.0,,1155
Business,3.35,5.0,Admit,2254
Business,3.55,4.0,,2475
STEM,3.16,5.0,,4661
STEM,3.24,5.0,,182
Humanities,3.39,5.0,,4543
STEM,3.06,6.0,,230
STEM,3.26,4.0,,6036
STEM,3.41,2.0,,3861
STEM,3.13,4.0,,4831
Business,3.38,6.0,Admit,5567
STEM,3.0,5.0,,3946
Business,3.37,4.0,,649
Business,3.34,7.0,Admit,4655
Business,3.04,6.0,,3063
Humanities,3.18,4.0,,3804
Business,3.29,4.0,,2874
Humanities,3.41,6.0,,4250
Humanities,3.35,3.0,Admit,4073
Humanities,2.87,5.0,,3402
Business,3.12,6.0,,4120
STEM,3.5,3.0,,1005
Business,3.39,4.0,,4427
Business,3.48,6.0,Admit,3362
STEM,3.18,4.0,,5795
Humanities,3.3,4.0,,3418
Business,3.18,5.0,,520
Humanities,3.08,6.0,,1046
Humanities,3.43,7.0,,4827
Business,3.14,5.0,Admit,641
Humanities,3.07,6.0,,132
Business,3.21,4.0,,2275
Humanities,3.07,4.0,,3301
STEM,3.18,7.0,,2006
Humanities,3.07,5.0,,5281
Humanities,3.26,3.0,,5846
Humanities,3.1,5.0,,4381
Humanities,3.3,4.0,,4789
STEM,3.35,4.0,,5934
Business,3.04,3.0,,2236
Humanities,3.24,5.0,,1615
Humanities,3.48,5.0,,5458
Business,3.62,5.0,Admit,4289
Humanities,3.41,5.0,,1128
STEM,3.25,3.0,,6172
Humanities,3.49,7.0,,893
Humanities,3.35,5.0,,1104
Humanities,3.51,6.0,,635
Humanities,3.14,7.0,,4097
Business,3.2,5.0,,339
Humanities,3.18,4.0,,77
STEM,3.48,5.0,Admit,143
Humanities,3.26,6.0,,1204
Business,3.37,5.0,,1468
Business,3.17,4.0,,515
Humanities,3.44,6.0,,2524
Humanities,3.03,4.0,,4888
Humanities,3.26,5.0,,6108
Humanities,3.17,4.0,,5155
STEM,3.33,5.0,Admit,1315
Business,3.23,7.0,Admit,3036
Business,3.28,6.0,,4911
Humanities,3.18,6.0,,1582
STEM,3.12,6.0,,2413
Business,3.28,3.0,Admit,3749
STEM,3.17,4.0,,142
STEM,3.2,6.0,,5763
Business,3.13,5.0,,3503
Humanities,3.33,5.0,,3717
Humanities,3.17,5.0,,789
Humanities,3.21,5.0,,936
Humanities,3.21,5.0,,1061
Business,3.46,6.0,,2849
STEM,3.27,5.0,,216
Humanities,3.19,5.0,,858
Humanities,3.32,5.0,Admit,4101
Humanities,3.2,4.0,,102
STEM,3.16,4.0,,38
Business,3.18,6.0,,3701
Business,3.24,5.0,,4845
Humanities,3.32,5.0,,516
STEM,3.38,4.0,Waitlist,2314
Humanities,3.25,5.0,Waitlist,3446
Business,3.16,5.0,,4527
Business,3.26,5.0,,3226
Humanities,2.96,6.0,,4763
Humanities,3.08,6.0,,1391
Business,3.28,3.0,,2923
Business,3.31,5.0,Admit,5221
Business,3.34,5.0,,232
Business,3.37,5.0,Waitlist,733
Humanities,3.29,5.0,,4874
Business,3.3,5.0,Admit,3
STEM,2.85,3.0,,3599
STEM,3.06,5.0,,4338
Humanities,3.38,4.0,,4705
Business,3.18,6.0,,972
Humanities,3.27,5.0,,4927
STEM,3.32,4.0,,2818
Humanities,3.2,6.0,Waitlist,710
STEM,3.35,4.0,,707
Humanities,3.25,4.0,,1427
Humanities,3.31,6.0,,1706
Humanities,3.23,6.0,Admit,3185
STEM,3.31,5.0,,5119
Humanities,3.3,5.0,,5430
Humanities,3.27,3.0,,4766
Humanities,3.35,2.0,Admit,3546
Humanities,3.54,4.0,,1143
Humanities,3.29,4.0,Admit,338
Business,3.17,6.0,,384
Humanities,3.09,7.0,,4644
Humanities,3.52,7.0,Admit,3208
Humanities,3.16,4.0,,3357
Humanities,3.05,6.0,,2344
Humanities,3.05,6.0,,4579
Business,3.44,5.0,Admit,212
Humanities,3.52,5.0,,2697
Humanities,3.4,6.0,,2633
Humanities,3.11,5.0,,5864
Business,3.02,5.0,,4230
Business,3.06,5.0,,136
STEM,3.23,6.0,,5987
Business,3.26,5.0,,671
Humanities,3.12,5.0,,1843
Humanities,2.97,4.0,,5453
Humanities,2.99,6.0,Admit,120
STEM,3.35,5.0,Admit,585
Humanities,3.18,5.0,,2256
Humanities,3.45,5.0,Admit,4988
STEM,3.16,4.0,,3041
Humanities,3.23,6.0,,3914
Humanities,3.09,6.0,,4192
Business,3.28,4.0,Admit,2050
Business,3.27,3.0,,890
STEM,2.98,6.0,,830
Business,2.99,6.0,,4285
Humanities,3.31,4.0,,4731
Humanities,3.27,4.0,,2056
STEM,3.09,4.0,,2488
Humanities,3.23,4.0,,4539
Humanities,3.34,5.0,,3867
Business,3.35,5.0,,5290
Business,3.43,6.0,Admit,2368
STEM,2.95,5.0,,949
STEM,3.07,6.0,Admit,626
Humanities,3.42,6.0,,3241
STEM,3.22,5.0,,446
Business,2.98,6.0,,5747
Humanities,3.31,5.0,,266
Humanities,3.29,6.0,,1594
Business,3.32,5.0,,2651
Humanities,3.46,6.0,,4130
Business,3.07,5.0,,3708
STEM,3.31,5.0,,2189
Humanities,3.48,5.0,,4371
Humanities,3.28,5.0,,2620
Humanities,3.32,4.0,Admit,4449
STEM,3.11,5.0,,5536
Humanities,2.99,5.0,,1805
Business,3.1,4.0,,798
Humanities,3.41,4.0,,6132
Humanities,3.41,4.0,,60
STEM,3.2,4.0,,989
Humanities,3.33,6.0,,1953
Business,3.26,5.0,Admit,2036
Humanities,3.27,5.0,,3713
Business,3.23,5.0,Admit,3458
Humanities,3.38,7.0,,577
Business,3.18,5.0,,4330
STEM,3.39,6.0,,2884
Business,3.28,4.0,Waitlist,3777
Humanities,3.13,4.0,,5496
STEM,3.5,5.0,Admit,1197
STEM,3.58,4.0,Admit,4152
Business,3.51,4.0,Admit,5768
Business,3.23,5.0,,1975
Business,2.99,7.0,,5117
Humanities,2.91,5.0,,2554
STEM,3.14,6.0,,5718
Humanities,3.0,5.0,Admit,426
Business,3.1,5.0,,1941
STEM,3.21,5.0,,5072
Humanities,3.34,5.0,Admit,183
STEM,3.18,3.0,,3509
STEM,3.32,3.0,,4472
Humanities,3.39,5.0,Admit,3170
Business,3.28,4.0,,1456
Humanities,2.83,5.0,,1736
Humanities,3.02,6.0,,2139
Humanities,3.2,4.0,,4723
STEM,3.25,4.0,,5471
Business,2.85,5.0,,5697
Business,3.21,6.0,,2576
STEM,3.24,6.0,,2905
Business,3.27,5.0,,1314
Humanities,3.14,4.0,,5989
STEM,3.07,3.0,,5858
STEM,3.12,5.0,,5847
Business,3.24,5.0,,4971
Business,3.44,6.0,,2018
Business,3.03,5.0,,2140
Humanities,3.39,4.0,,3008
Humanities,3.22,4.0,,1813
STEM,3.08,4.0,,2170
Humanities,3.28,4.0,,1227
Business,3.14,5.0,,3468
STEM,3.1,5.0,,2740
Humanities,3.23,6.0,Admit,518
Business,3.22,4.0,Admit,5044
Business,3.17,7.0,,3298
Business,3.29,5.0,,4035
STEM,3.18,4.0,,1603
Humanities,3.22,4.0,Waitlist,2830
STEM,3.27,5.0,Waitlist,5802
Humanities,3.14,5.0,,2177
Business,3.35,3.0,,4086
Business,3.34,6.0,,1406
STEM,3.41,5.0,,5464
STEM,3.1,5.0,Waitlist,853
Humanities,3.54,5.0,,5287
Humanities,3.13,5.0,,5446
Humanities,3.23,6.0,,2293
Humanities,3.17,5.0,,4132
Business,3.35,4.0,,3005
Business,3.01,3.0,,5338
Humanities,3.26,6.0,,111
Business,3.18,5.0,,628
Humanities,3.21,6.0,,2424
STEM,3.37,6.0,,2240
STEM,3.2,4.0,,5326
Humanities,3.31,5.0,,5541
STEM,3.04,6.0,,5228
Business,3.26,5.0,,2664
Humanities,2.78,6.0,,3638
Business,3.09,4.0,,2582
Business,3.16,5.0,,4106
Humanities,3.49,4.0,,5826
Humanities,3.28,5.0,,4957
Humanities,3.11,5.0,,2868
Humanities,3.08,6.0,,3866
Humanities,3.39,5.0,,1492
Business,3.42,3.0,,4509
Humanities,3.25,7.0,,173
STEM,3.04,6.0,,5314
Humanities,3.13,7.0,,910
STEM,3.45,6.0,,3817
Business,3.14,4.0,,1607
Business,3.16,3.0,,1928
Humanities,3.37,4.0,,3848
Humanities,3.54,4.0,,4117
Humanities,3.01,6.0,,59
Humanities,3.25,5.0,,4515
Humanities,3.23,5.0,,3325
Business,3.19,6.0,,1267
Business,3.24,7.0,,5749
STEM,3.39,6.0,,2720
Business,3.02,7.0,,4640
Humanities,3.32,7.0,Waitlist,896
Business,3.45,5.0,Admit,756
Business,3.3,6.0,,282
Humanities,3.42,3.0,,5542
Humanities,3.16,5.0,,6161
Humanities,3.17,5.0,,1041
Humanities,3.26,6.0,,4616
Humanities,3.17,7.0,,6056
Humanities,3.27,5.0,,5312
Humanities,3.3,4.0,,1257
Humanities,3.19,5.0,,2094
Humanities,2.97,6.0,,4403
STEM,3.47,4.0,,3732
Business,3.4,7.0,,3597
STEM,3.23,3.0,,1673
Humanities,3.21,3.0,Admit,1827
Business,3.05,5.0,,3786
Business,3.2,7.0,,1927
Humanities,3.42,4.0,,3927
Business,3.34,5.0,Admit,4562
Humanities,3.09,8.0,,5783
Business,3.17,7.0,,3442
Business,3.37,3.0,,818
Business,3.12,6.0,,1964
Humanities,3.12,4.0,,4011
Business,3.15,5.0,,3816
STEM,3.29,5.0,,5203
Business,3.2,4.0,,5534
Humanities,3.45,5.0,,6049
Business,3.4,4.0,Admit,3578
Business,3.09,4.0,,2269
Business,3.18,6.0,,6
Business,3.29,6.0,,4748
Humanities,3.49,5.0,,5124
Business,2.96,6.0,,1237
Humanities,3.08,4.0,,107
STEM,3.26,7.0,,2975
Business,3.22,5.0,,121
Business,3.11,4.0,,4601
STEM,3.33,5.0,,1110
Business,3.5,5.0,,2507
Business,3.31,6.0,,6015
Humanities,3.29,5.0,,4514
STEM,3.14,6.0,,5779
Humanities,3.11,5.0,,5838
Humanities,3.46,4.0,,4262
STEM,3.36,6.0,,3422
STEM,3.25,5.0,,2217
Business,3.44,5.0,Admit,5289
Humanities,3.26,5.0,,2101
Business,3.28,7.0,,4186
STEM,3.35,5.0,,4257
Humanities,3.13,5.0,,2377
Business,3.17,4.0,,2891
Business,3.29,4.0,,5656
Humanities,3.21,5.0,,792
STEM,3.38,5.0,,3057
Humanities,3.15,3.0,,2322
Business,3.39,5.0,,3973
Humanities,3.29,5.0,,4592
Humanities,3.33,7.0,,4513
Business,3.36,5.0,Admit,1991
Humanities,2.98,8.0,,5025
Humanities,3.06,5.0,,1176
Humanities,3.45,5.0,,4786
Humanities,3.36,5.0,,1688
Business,3.47,6.0,,450
Humanities,3.01,5.0,,2480
Humanities,3.01,4.0,,4858
Humanities,3.2,5.0,,1285
STEM,3.45,4.0,,5506
Humanities,3.48,4.0,Admit,3877
STEM,3.18,6.0,Admit,158
Business,3.3,6.0,Admit,4325
Business,3.34,4.0,,4337
Business,3.1,3.0,,1869
STEM,3.17,4.0,,6087
Business,3.04,4.0,,5210
Humanities,3.37,5.0,,4463
Business,3.19,5.0,,2645
STEM,3.34,4.0,,5845
Humanities,3.02,4.0,,1521
Humanities,3.45,6.0,,2926
Humanities,3.53,5.0,Admit,2622
Humanities,3.2,5.0,,2308
Humanities,3.04,6.0,,2084
Business,3.36,7.0,,2392
Humanities,3.08,4.0,,1829
Humanities,3.35,4.0,,4838
STEM,3.35,5.0,,2039
Humanities,3.29,4.0,Admit,316
Humanities,3.3,6.0,,734
Humanities,3.11,4.0,,3408
Business,3.21,4.0,,5127
Humanities,3.14,5.0,,411
Business,3.11,5.0,,5103
Humanities,3.28,5.0,,2388
Business,3.08,4.0,,1274
STEM,3.16,5.0,,3337
Humanities,3.04,4.0,,2553
Business,3.32,4.0,,888
Humanities,3.45,2.0,,3611
Humanities,3.22,3.0,,492
Humanities,3.08,5.0,,5300
Humanities,3.1,5.0,,4886
Business,3.26,6.0,,5454
Business,3.49,5.0,,923
Humanities,3.09,6.0,,2092
Humanities,3.52,3.0,,277
Humanities,3.13,4.0,,3312
Humanities,3.49,6.0,Admit,2974
STEM,3.47,5.0,,3183
Business,2.97,6.0,,1228
Business,3.16,5.0,,3776
STEM,3.19,5.0,,3245
STEM,3.47,5.0,Admit,1168
STEM,3.23,5.0,,4372
Humanities,3.29,6.0,,2727
Humanities,3.19,4.0,,1530
Humanities,3.44,6.0,Admit,2075
Humanities,3.34,6.0,,6141
Humanities,3.31,6.0,,559
Business,3.19,4.0,,957
STEM,3.35,6.0,,2984
Business,3.22,6.0,,3761
STEM,3.11,5.0,,2209
STEM,3.33,5.0,Admit,507
STEM,3.41,3.0,,4682
Business,3.16,4.0,,6152
Business,3.19,5.0,,1631
Humanities,3.37,5.0,,4045
STEM,3.29,4.0,,1366
Humanities,3.32,4.0,,4633
Humanities,3.21,5.0,,421
Humanities,3.39,5.0,,1998
STEM,3.1,5.0,,5647
Humanities,3.04,5.0,,2707
STEM,3.37,7.0,,4834
Humanities,3.38,5.0,,5060
STEM,3.2,5.0,,5624
Humanities,3.35,5.0,,3563
Humanities,3.05,5.0,,5145
Business,3.24,4.0,,779
Humanities,3.36,5.0,,6140
STEM,3.18,4.0,,5619
Humanities,3.4,5.0,Admit,5830
STEM,2.98,5.0,,3639
Humanities,3.24,4.0,,728
Humanities,3.32,4.0,,4109
Humanities,3.39,4.0,Admit,1898
STEM,3.22,3.0,,5553
Business,3.46,5.0,Admit,995
Business,3.15,4.0,,5874
Humanities,3.14,4.0,,2385
Humanities,3.43,7.0,,129
Business,3.37,6.0,,4593
Humanities,3.46,5.0,,617
Humanities,3.31,4.0,,3997
Business,3.48,6.0,,5999
Humanities,3.06,5.0,,3915
STEM,3.11,6.0,,1643
Business,3.1,7.0,,1424
STEM,3.35,3.0,Admit,5003
STEM,3.27,5.0,,45
STEM,3.27,5.0,,955
Business,3.07,6.0,,3459
Business,3.15,7.0,,1470
STEM,3.14,5.0,,3157
Business,3.18,4.0,,4508
STEM,3.2,4.0,,1556
STEM,2.87,5.0,,612
Business,3.07,4.0,,1025
Humanities,3.25,5.0,,5104
Humanities,3.07,6.0,,3419
Business,3.11,5.0,,3130
Humanities,3.19,5.0,,3368
Humanities,3.54,6.0,,4345
Humanities,3.27,6.0,,3096
Humanities,3.29,3.0,,5817
STEM,3.26,4.0,,5442
Business,3.04,6.0,,4614
Business,3.48,5.0,,4638
Humanities,3.24,4.0,,3049
Humanities,3.3,6.0,,5004
Business,3.35,6.0,,5008
STEM,3.06,3.0,,1163
Business,3.43,6.0,,3393
STEM,3.34,6.0,Admit,2296
STEM,3.19,4.0,,3615
STEM,3.34,5.0,,3600
Humanities,3.02,4.0,,1402
Humanities,3.09,4.0,,5199
Humanities,3.04,4.0,,1619
Humanities,3.1,5.0,,1007
STEM,3.27,5.0,,1609
STEM,3.27,5.0,Admit,2654
Humanities,3.29,6.0,,5971
STEM,3.33,6.0,,4799
Business,3.28,5.0,,2251
Business,3.54,5.0,,3520
STEM,3.47,4.0,,3474
Business,3.17,6.0,,1151
Business,3.18,6.0,,4088
Business,3.28,5.0,,1307
STEM,3.15,3.0,,3663
STEM,2.98,5.0,,3291
STEM,3.3,6.0,,687
Humanities,2.92,6.0,,1765
Humanities,3.3,5.0,,546
Humanities,3.34,4.0,,3808
Business,3.12,4.0,,2721
Humanities,3.43,5.0,,3405
Business,3.35,5.0,Admit,294
STEM,3.22,4.0,,3112
STEM,3.13,5.0,,6021
STEM,3.23,4.0,,537
Humanities,3.32,6.0,Admit,1828
STEM,3.11,4.0,,814
STEM,3.49,5.0,,2521
Business,3.41,4.0,Waitlist,819
Business,3.3,6.0,,3831
Business,3.22,5.0,,1255
Business,3.07,5.0,,1395
Humanities,3.12,4.0,,3416
Humanities,3.29,6.0,,184
Humanities,3.16,6.0,,4583
STEM,3.55,4.0,,2176
STEM,2.99,6.0,,4272
STEM,3.08,4.0,,4410
STEM,3.25,5.0,,4714
Business,3.19,5.0,,2872
Humanities,3.32,6.0,Admit,1157
Business,3.4,4.0,Admit,2988
Business,3.32,6.0,,5344
Humanities,3.03,6.0,,3430
STEM,3.2,6.0,,3082
Business,3.43,4.0,,5084
Business,3.49,4.0,,691
STEM,3.06,5.0,,3006
STEM,3.02,4.0,,711
STEM,3.54,5.0,,5517
Humanities,2.89,6.0,,3269
Humanities,3.4,5.0,,5535
Humanities,3.07,7.0,,5399
Business,3.07,5.0,,4735
Humanities,3.22,4.0,,2343
Humanities,3.29,4.0,Admit,747
Business,3.35,4.0,,1558
STEM,3.24,5.0,,3490
STEM,3.21,6.0,,1625
Humanities,3.05,4.0,Admit,16
Humanities,3.35,5.0,Admit,535
Humanities,3.3,7.0,,4409
Humanities,3.48,6.0,,5677
Humanities,3.24,5.0,,5439
STEM,3.1,5.0,,2124
Business,3.05,4.0,,5328
STEM,3.25,7.0,,5953
Humanities,3.41,3.0,,5902
Humanities,3.13,4.0,,5710
STEM,3.28,4.0,,2239
STEM,3.33,5.0,Admit,1295
Business,3.5,6.0,,702
Business,3.32,6.0,,6092
STEM,3.3,6.0,Admit,2125
Humanities,3.24,5.0,,4156
Business,3.16,5.0,,1666
Humanities,3.07,6.0,,595
Business,3.11,6.0,,279
Humanities,3.44,5.0,,3404
STEM,3.33,6.0,,3898
Business,3.24,4.0,,647
Humanities,3.31,5.0,Admit,1552
Business,3.2,4.0,,6070
Humanities,3.25,4.0,,2468
Business,3.24,4.0,,937
Business,3.47,5.0,Admit,2204
Humanities,3.38,4.0,,3794
STEM,3.25,6.0,,2894
Humanities,2.96,7.0,Admit,345
Business,3.32,6.0,,3259
Humanities,3.26,4.0,,3388
STEM,3.28,7.0,,2540
Humanities,3.31,6.0,,5754
Humanities,3.26,5.0,Admit,4950
Business,3.55,6.0,,2710
Humanities,3.22,6.0,,4697
Humanities,3.1,6.0,,203
Business,3.42,3.0,,391
Business,3.28,4.0,,343
STEM,3.39,6.0,,5684
Business,3.41,4.0,,2600
STEM,3.37,6.0,,5052
Business,3.48,3.0,,4605
Humanities,3.03,6.0,,4720
Business,3.24,4.0,,2473
STEM,3.26,7.0,,2090
Humanities,3.39,5.0,Admit,2776
STEM,3.27,6.0,,1682
Business,3.48,5.0,,3187
Humanities,3.05,8.0,,206
Business,3.3,5.0,Admit,4824
Business,3.41,3.0,,4305
Business,3.13,5.0,,2563
STEM,3.14,4.0,,4200
Business,2.97,3.0,,6157
Humanities,3.73,5.0,Admit,4734
Humanities,3.51,4.0,Admit,4597
Humanities,3.19,5.0,,724
Humanities,3.51,5.0,,1778
Humanities,3.32,5.0,,1574
STEM,3.32,7.0,,1455
